"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"기준 : 월간(202509~202510)"
"A0009024","경기 화성시","(주)구구에너지 89주유소","경기 화성시 우정읍 포승향남로 1129","2025년 09월","SK에너지","셀프","0.00","1619.00","1479.00","1300.00"
"A0009024","경기 화성시","(주)구구에너지 89주유소","경기 화성시 우정읍 포승향남로 1129","2025년 10월","SK에너지","셀프","0.00","1616.42","1480.26","1298.28"
"A0008995","경기 화성시","(주)구구에너지 99주유소","경기도 화성시 팔탄면 포승향남로 2978","2025년 09월","SK에너지","셀프","0.00","1615.00","1477.33","0.00"
"A0008995","경기 화성시","(주)구구에너지 99주유소","경기도 화성시 팔탄면 포승향남로 2978","2025년 10월","SK에너지","셀프","0.00","1615.00","1481.52","1500.00"
"A0008978","경기 화성시","(주)구구에너지직영 88주유소","경기 화성시 향남읍 삼천병마로 276","2025년 09월","SK에너지","셀프","0.00","1601.97","1476.07","1406.67"
"A0008978","경기 화성시","(주)구구에너지직영 88주유소","경기 화성시 향남읍 삼천병마로 276","2025년 10월","SK에너지","셀프","0.00","1612.35","1479.84","1411.29"
"A0033207","경기 화성시","(주)남경석유 길벗주유소","경기 화성시 봉담읍 삼천병마로 1133","2025년 09월","SK에너지","셀프","0.00","1619.00","1469.00","0.00"
"A0033207","경기 화성시","(주)남경석유 길벗주유소","경기 화성시 봉담읍 삼천병마로 1133","2025년 10월","SK에너지","셀프","0.00","1623.57","1476.00","0.00"
"A0004218","경기 화성시","(주)뉴타운에너지 주유소","경기 화성시 경기대로 1106 (진안동)","2025년 09월","SK에너지","셀프","0.00","1629.00","1509.00","0.00"
"A0004218","경기 화성시","(주)뉴타운에너지 주유소","경기 화성시 경기대로 1106 (진안동)","2025년 10월","SK에너지","셀프","0.00","1642.90","1535.87","0.00"
"A0005662","경기 화성시","(주)동우에너지 판다주유소","경기 화성시 남양읍 화성로 1420","2025년 09월","S-OIL","셀프","0.00","1620.00","1482.00","0.00"
"A0005662","경기 화성시","(주)동우에너지 판다주유소","경기 화성시 남양읍 화성로 1420","2025년 10월","S-OIL","셀프","0.00","1618.94","1488.29","0.00"
"A0009023","경기 화성시","(주)디오티디 화성외계인주유소","경기 화성시 매송면 매송고색로 376","2025년 09월","S-OIL","셀프","0.00","1609.00","1469.00","0.00"
"A0009023","경기 화성시","(주)디오티디 화성외계인주유소","경기 화성시 매송면 매송고색로 376","2025년 10월","S-OIL","셀프","0.00","1616.10","1479.65","0.00"
"A0033568","경기 화성시","(주)비봉I.C셀프주유소","경기 화성시 비봉면 화성로 1940","2025년 09월","S-OIL","셀프","0.00","1609.00","1469.00","0.00"
"A0033568","경기 화성시","(주)비봉I.C셀프주유소","경기 화성시 비봉면 화성로 1940","2025년 10월","S-OIL","셀프","0.00","1611.58","1477.39","0.00"
"A0002009","경기 화성시","(주)서진주유소 화성지점 공단주유소","경기 화성시 정남면 발안로 1059","2025년 09월","SK에너지","셀프","0.00","1639.33","1490.53","1250.00"
"A0002009","경기 화성시","(주)서진주유소 화성지점 공단주유소","경기 화성시 정남면 발안로 1059","2025년 10월","SK에너지","셀프","0.00","1648.68","1513.97","1250.00"
"A0002704","경기 화성시","(주)송림에너지주유소","경기 화성시 우정읍 한말길 5","2025년 09월","SK에너지","셀프","0.00","1695.00","1624.43","1300.00"
"A0002704","경기 화성시","(주)송림에너지주유소","경기 화성시 우정읍 한말길 5","2025년 10월","SK에너지","셀프","0.00","1695.00","1640.55","1300.00"
"A0009021","경기 화성시","(주)신영광셀프주유소","경기 화성시 남양읍 화성로 1515 (북양동)","2025년 09월","GS칼텍스","셀프","0.00","1608.00","1468.00","1300.00"
"A0009021","경기 화성시","(주)신영광셀프주유소","경기 화성시 남양읍 화성로 1515 (북양동)","2025년 10월","GS칼텍스","셀프","0.00","1610.58","1477.03","1300.00"
"A0002382","경기 화성시","(주)신화성주유소","경기 화성시 우정읍 포승향남로 1552","2025년 09월","알뜰주유소","셀프","0.00","1609.33","1436.87","0.00"
"A0002382","경기 화성시","(주)신화성주유소","경기 화성시 우정읍 포승향남로 1552","2025년 10월","알뜰주유소","셀프","0.00","1606.42","1446.23","0.00"
"A0002732","경기 화성시","(주)앨림하이오일주유소","경기 화성시 봉담읍 삼천병마로 1136","2025년 09월","S-OIL","셀프","0.00","1623.00","1499.00","1329.00"
"A0002732","경기 화성시","(주)앨림하이오일주유소","경기 화성시 봉담읍 삼천병마로 1136","2025년 10월","S-OIL","셀프","0.00","1634.16","1505.45","1329.00"
"A0002733","경기 화성시","(주)영광주유소","경기 화성시 효행로 1144 (병점동)","2025년 09월","HD현대오일뱅크","셀프","0.00","1691.00","1589.33","0.00"
"A0002733","경기 화성시","(주)영광주유소","경기 화성시 효행로 1144 (병점동)","2025년 10월","HD현대오일뱅크","셀프","0.00","1678.55","1598.00","1390.00"
"A0002467","경기 화성시","(주)융건주유소","경기 화성시 효행로481번길 14 (안녕동)","2025년 09월","S-OIL","셀프","0.00","1622.00","1489.00","0.00"
"A0002467","경기 화성시","(주)융건주유소","경기 화성시 효행로481번길 14 (안녕동)","2025년 10월","S-OIL","셀프","0.00","1625.13","1507.39","0.00"
"A0007422","경기 화성시","(주)일광에너비스 제1주유소","경기 화성시 효행로 420 (안녕동)","2025년 09월","GS칼텍스","일반","0.00","1610.33","1480.67","0.00"
"A0007422","경기 화성시","(주)일광에너비스 제1주유소","경기 화성시 효행로 420 (안녕동)","2025년 10월","GS칼텍스","일반","0.00","1620.94","1502.84","0.00"
"A0002064","경기 화성시","(주)장안셀프주유소","경기 화성시 장안면 포승향남로 2142","2025년 09월","GS칼텍스","셀프","0.00","1628.00","1497.00","0.00"
"A0002064","경기 화성시","(주)장안셀프주유소","경기 화성시 장안면 포승향남로 2142","2025년 10월","GS칼텍스","셀프","0.00","1629.80","1513.00","0.00"
"A0002257","경기 화성시","(주)정도인더스트리 주유소","경기 화성시 남양읍 현대기아로 394","2025년 09월","SK에너지","일반","0.00","1829.00","1699.00","1555.64"
"A0002257","경기 화성시","(주)정도인더스트리 주유소","경기 화성시 남양읍 현대기아로 394","2025년 10월","SK에너지","일반","0.00","1829.00","1699.00","1639.00"
"A0002543","경기 화성시","(주)충만에너지","경기 화성시 양감면 은행나무로 234","2025년 09월","SK에너지","일반","0.00","1678.67","1587.33","1450.00"
"A0002543","경기 화성시","(주)충만에너지","경기 화성시 양감면 은행나무로 234","2025년 10월","SK에너지","일반","0.00","1684.77","1588.00","1383.33"
"A0009729","경기 화성시","(주)태화유업 병점주유소","경기 화성시 떡전골로 148","2025년 09월","HD현대오일뱅크","일반","0.00","1698.00","1573.67","1390.00"
"A0009729","경기 화성시","(주)태화유업 병점주유소","경기 화성시 떡전골로 148","2025년 10월","HD현대오일뱅크","일반","0.00","1700.71","1581.45","1400.00"
"A0021087","경기 화성시","(주)화성홈런주유소","경기 화성시 정남면 서봉로 863","2025년 09월","HD현대오일뱅크","셀프","0.00","1594.87","1467.00","0.00"
"A0021087","경기 화성시","(주)화성홈런주유소","경기 화성시 정남면 서봉로 863","2025년 10월","HD현대오일뱅크","셀프","0.00","1630.55","1498.81","1490.00"
"A0002585","경기 화성시","39라인주유소","경기 화성시 향남읍 서해로 806","2025년 09월","GS칼텍스","셀프","0.00","1647.07","1526.47","1570.00"
"A0002585","경기 화성시","39라인주유소","경기 화성시 향남읍 서해로 806","2025년 10월","GS칼텍스","셀프","0.00","1645.00","1525.00","1570.00"
"A0002480","경기 화성시","815GS주유소","경기 화성시 정조로 139 (반정동)","2025년 09월","GS칼텍스","셀프","0.00","1658.00","1528.00","1470.00"
"A0002480","경기 화성시","815GS주유소","경기 화성시 정조로 139 (반정동)","2025년 10월","GS칼텍스","셀프","0.00","1659.00","1529.00","1470.00"
"A0002143","경기 화성시","815주유소","경기 화성시 봉담읍 기배로30번길 36","2025년 09월","SK에너지","일반","1910.00","1611.00","1469.67","0.00"
"A0002143","경기 화성시","815주유소","경기 화성시 봉담읍 기배로30번길 36","2025년 10월","SK에너지","일반","1910.00","1621.97","1503.71","1315.00"
"A0008992","경기 화성시","BK부광주유소","경기 화성시 비봉면 비봉로 477","2025년 09월","SK에너지","셀프","0.00","1609.33","1496.00","0.00"
"A0008992","경기 화성시","BK부광주유소","경기 화성시 비봉면 비봉로 477","2025년 10월","SK에너지","셀프","0.00","1605.32","1501.42","0.00"
"A0002539","경기 화성시","CJ대한통운㈜ 힘찬주유소","경기 화성시 남양읍 온석길 15-2","2025년 09월","S-OIL","일반","0.00","1740.00","1630.00","1400.00"
"A0002539","경기 화성시","CJ대한통운㈜ 힘찬주유소","경기 화성시 남양읍 온석길 15-2","2025년 10월","S-OIL","일반","0.00","1729.66","1619.66","1400.00"
"A0032926","경기 화성시","GS 세마주유소","경기 화성시 만년로 889","2025년 09월","GS칼텍스","셀프","0.00","1618.33","1485.00","1510.00"
"A0032926","경기 화성시","GS 세마주유소","경기 화성시 만년로 889","2025년 10월","GS칼텍스","셀프","0.00","1629.84","1507.90","1510.00"
"A0005108","경기 화성시","HD현대오일뱅크㈜직영 능동셀프주유소","경기 화성시 북삼미로 261","2025년 09월","HD현대오일뱅크","셀프","2119.00","1627.27","1520.67","1499.00"
"A0005108","경기 화성시","HD현대오일뱅크㈜직영 능동셀프주유소","경기 화성시 북삼미로 261","2025년 10월","HD현대오일뱅크","셀프","2119.00","1634.00","1534.58","1499.00"
"A0033293","경기 화성시","HD현대오일뱅크㈜직영 동탄예일주유소","경기 화성시 경기동로 211 (장지동)","2025년 09월","HD현대오일뱅크","일반","0.00","1638.67","1537.77","0.00"
"A0033293","경기 화성시","HD현대오일뱅크㈜직영 동탄예일주유소","경기 화성시 경기동로 211 (장지동)","2025년 10월","HD현대오일뱅크","일반","0.00","1646.58","1541.58","0.00"
"A0002619","경기 화성시","HD현대오일뱅크㈜직영 동탄제일주유소","경기 화성시 효행로 1279 (반월동)","2025년 09월","HD현대오일뱅크","일반","1971.67","1681.67","1630.33","0.00"
"A0002619","경기 화성시","HD현대오일뱅크㈜직영 동탄제일주유소","경기 화성시 효행로 1279 (반월동)","2025년 10월","HD현대오일뱅크","일반","1926.42","1706.42","1646.42","0.00"
"A0002599","경기 화성시","HD현대오일뱅크㈜직영 동탄현대주유소","경기 화성시 효행로 1315 (반월동)","2025년 09월","HD현대오일뱅크","일반","2101.00","1681.67","1628.33","1500.00"
"A0002599","경기 화성시","HD현대오일뱅크㈜직영 동탄현대주유소","경기 화성시 효행로 1315 (반월동)","2025년 10월","HD현대오일뱅크","일반","2099.00","1706.74","1646.74","1500.00"
"A0002574","경기 화성시","HD현대오일뱅크㈜직영 봉담IC셀프주유소","경기 화성시 봉담읍 삼천병마로 1346","2025년 09월","HD현대오일뱅크","셀프","1902.07","1648.67","1568.00","0.00"
"A0002574","경기 화성시","HD현대오일뱅크㈜직영 봉담IC셀프주유소","경기 화성시 봉담읍 삼천병마로 1346","2025년 10월","HD현대오일뱅크","셀프","1905.81","1659.65","1584.81","0.00"
"A0002559","경기 화성시","HD현대오일뱅크㈜직영 봉담셀프주유소","경기 화성시 봉담읍 삼천병마로 862","2025년 09월","HD현대오일뱅크","셀프","1898.07","1627.87","1499.13","1449.00"
"A0002559","경기 화성시","HD현대오일뱅크㈜직영 봉담셀프주유소","경기 화성시 봉담읍 삼천병마로 862","2025년 10월","HD현대오일뱅크","셀프","1892.26","1647.39","1508.35","1432.87"
"A0002606","경기 화성시","HD현대오일뱅크㈜직영 비봉현대주유소","경기 화성시 비봉면 화성로 1589-1","2025년 09월","HD현대오일뱅크","일반","0.00","1817.00","1647.87","1408.00"
"A0002606","경기 화성시","HD현대오일뱅크㈜직영 비봉현대주유소","경기 화성시 비봉면 화성로 1589-1","2025년 10월","HD현대오일뱅크","일반","0.00","1808.45","1639.87","1408.00"
"A0002589","경기 화성시","HD현대오일뱅크㈜직영 태안현대주유소","경기 화성시 효행로 568 (안녕동)","2025년 09월","HD현대오일뱅크","셀프","1887.00","1633.90","1549.00","0.00"
"A0002589","경기 화성시","HD현대오일뱅크㈜직영 태안현대주유소","경기 화성시 효행로 568 (안녕동)","2025년 10월","HD현대오일뱅크","셀프","1887.00","1648.35","1559.32","0.00"
"A0007530","경기 화성시","HD현대오일뱅크㈜직영 프리미엄셀프주유소","경기 화성시 삼성1로 231 (석우동)","2025년 09월","HD현대오일뱅크","셀프","1889.00","1731.27","1587.00","0.00"
"A0007530","경기 화성시","HD현대오일뱅크㈜직영 프리미엄셀프주유소","경기 화성시 삼성1로 231 (석우동)","2025년 10월","HD현대오일뱅크","셀프","1890.16","1731.39","1584.39","0.00"
"A0008925","경기 화성시","HD현대오일뱅크㈜직영 화성제일주유소","경기 화성시 정남면 세자로 31","2025년 09월","HD현대오일뱅크","일반","0.00","1626.87","1491.27","1400.00"
"A0008925","경기 화성시","HD현대오일뱅크㈜직영 화성제일주유소","경기 화성시 정남면 세자로 31","2025년 10월","HD현대오일뱅크","일반","0.00","1641.97","1513.97","1400.00"
"A0009011","경기 화성시","KH에너지㈜직영 KH덕우주유소","경기 화성시 팔탄면 포승향남로 2298","2025년 09월","SK에너지","셀프","0.00","1625.00","1500.33","1400.00"
"A0009011","경기 화성시","KH에너지㈜직영 KH덕우주유소","경기 화성시 팔탄면 포승향남로 2298","2025년 10월","SK에너지","셀프","0.00","1619.19","1517.00","1400.00"
"A0002650","경기 화성시","KH에너지㈜직영 동탄맥주유소","경기 화성시 효행로 1260","2025년 09월","SK에너지","셀프","0.00","1695.33","1641.00","0.00"
"A0002650","경기 화성시","KH에너지㈜직영 동탄맥주유소","경기 화성시 효행로 1260","2025년 10월","SK에너지","셀프","0.00","1701.20","1647.00","0.00"
"A0002148","경기 화성시","SK KH에너지 화성주유소","경기 화성시 팔탄면 푸른들판로 918","2025년 09월","SK에너지","일반","0.00","1635.00","1500.33","1400.00"
"A0002148","경기 화성시","SK KH에너지 화성주유소","경기 화성시 팔탄면 푸른들판로 918","2025년 10월","SK에너지","일반","0.00","1618.29","1521.19","1400.00"
"A0002206","경기 화성시","SK기양주유소","경기 화성시 우정읍 기아자동차로 571","2025년 09월","SK에너지","셀프","1935.00","1675.00","1565.00","1250.00"
"A0002206","경기 화성시","SK기양주유소","경기 화성시 우정읍 기아자동차로 571","2025년 10월","SK에너지","셀프","1935.00","1675.00","1572.74","1250.00"
"A0009022","경기 화성시","SK대로셀프주유소","경기 화성시 남양읍 화성로 1229","2025년 09월","SK에너지","셀프","0.00","1612.67","1472.00","1350.00"
"A0009022","경기 화성시","SK대로셀프주유소","경기 화성시 남양읍 화성로 1229","2025년 10월","SK에너지","셀프","0.00","1617.94","1486.32","1350.00"
"A0008923","경기 화성시","SK대훈주유소","경기 화성시 남양읍 남양로 410","2025년 09월","SK에너지","셀프","0.00","1617.00","1487.80","1235.00"
"A0008923","경기 화성시","SK대훈주유소","경기 화성시 남양읍 남양로 410","2025년 10월","SK에너지","셀프","0.00","1624.42","1494.74","1200.00"
"A0002230","경기 화성시","SK서근주유소","경기 화성시 팔탄면 버들로 1231","2025년 09월","SK에너지","일반","0.00","1729.00","1599.00","0.00"
"A0002230","경기 화성시","SK서근주유소","경기 화성시 팔탄면 버들로 1231","2025년 10월","SK에너지","일반","0.00","1729.00","1599.00","0.00"
"A0002617","경기 화성시","SK에너지(주)솔빛나루주유소","경기 화성시 10용사로 650 (반송동)","2025년 09월","SK에너지","셀프","0.00","1663.00","1628.33","1590.00"
"A0002617","경기 화성시","SK에너지(주)솔빛나루주유소","경기 화성시 10용사로 650 (반송동)","2025년 10월","SK에너지","셀프","0.00","1659.32","1592.29","1546.45"
"A0002629","경기 화성시","SK에너지㈜ 동탄셀프주유소","경기 화성시 여울로3길 21 (능동)","2025년 09월","SK에너지","셀프","1899.00","1703.52","1694.52","0.00"
"A0002629","경기 화성시","SK에너지㈜ 동탄셀프주유소","경기 화성시 여울로3길 21 (능동)","2025년 10월","SK에너지","셀프","1899.00","1677.68","1653.10","0.00"
"A0001994","경기 화성시","SK향남주유소","경기 화성시 향남읍 서해로 430-9","2025년 09월","SK에너지","일반","0.00","1748.00","1598.00","1400.00"
"A0001994","경기 화성시","SK향남주유소","경기 화성시 향남읍 서해로 430-9","2025년 10월","SK에너지","일반","0.00","1748.00","1598.00","1400.00"
"A0033785","경기 화성시","㈜광동티엘에스 송산에너지","경기 화성시 송산면 삼존로 59","2025년 09월","SK에너지","셀프","0.00","1693.00","1534.33","0.00"
"A0033785","경기 화성시","㈜광동티엘에스 송산에너지","경기 화성시 송산면 삼존로 59","2025년 10월","SK에너지","셀프","0.00","1685.00","1492.58","0.00"
"A0008982","경기 화성시","㈜그린오일에너지","경기 화성시 우정읍 포승향남로 1207","2025년 09월","S-OIL","셀프","0.00","1638.33","1469.00","0.00"
"A0008982","경기 화성시","㈜그린오일에너지","경기 화성시 우정읍 포승향남로 1207","2025년 10월","S-OIL","셀프","0.00","1639.32","1479.32","0.00"
"A0002428","경기 화성시","㈜디이에이치오일포유(궁평항주유소)","경기 화성시 서신면 궁평항로 1146","2025년 09월","S-OIL","셀프","0.00","1688.00","1541.87","1256.25"
"A0002428","경기 화성시","㈜디이에이치오일포유(궁평항주유소)","경기 화성시 서신면 궁평항로 1146","2025년 10월","S-OIL","셀프","0.00","1688.00","1560.77","1237.93"
"A0009019","경기 화성시","㈜삼표산업 화성에너지","경기 화성시 비봉면 푸른들판로 1275","2025년 09월","HD현대오일뱅크","일반","0.00","1639.00","1599.00","0.00"
"A0009019","경기 화성시","㈜삼표산업 화성에너지","경기 화성시 비봉면 푸른들판로 1275","2025년 10월","HD현대오일뱅크","일반","0.00","1652.79","1601.22","0.00"
"A0006237","경기 화성시","㈜서강산업주유소","경기 화성시 정남면 서봉로 1036","2025년 09월","SK에너지","셀프","0.00","1622.40","1469.80","1230.00"
"A0006237","경기 화성시","㈜서강산업주유소","경기 화성시 정남면 서봉로 1036","2025년 10월","SK에너지","셀프","0.00","1638.55","1501.19","1200.00"
"A0001880","경기 화성시","㈜서석주유소","경기 화성시 장안면 포승향남로 1237","2025년 09월","HD현대오일뱅크","일반","0.00","1639.00","1489.00","0.00"
"A0001880","경기 화성시","㈜서석주유소","경기 화성시 장안면 포승향남로 1237","2025년 10월","HD현대오일뱅크","일반","0.00","1639.65","1489.65","0.00"
"A0002572","경기 화성시","㈜서정산업 주유소","경기 화성시 향남읍 3.1만세로 972","2025년 09월","HD현대오일뱅크","셀프","0.00","1609.67","1472.33","1350.00"
"A0002572","경기 화성시","㈜서정산업 주유소","경기 화성시 향남읍 3.1만세로 972","2025년 10월","HD현대오일뱅크","셀프","0.00","1614.74","1477.65","1350.00"
"A0033352","경기 화성시","㈜서정스타주유소 정남점","경기 화성시 정남면 세자로 257","2025년 09월","HD현대오일뱅크","셀프","0.00","1587.00","1467.00","0.00"
"A0033352","경기 화성시","㈜서정스타주유소 정남점","경기 화성시 정남면 세자로 257","2025년 10월","HD현대오일뱅크","셀프","0.00","1615.32","1486.94","0.00"
"A0002353","경기 화성시","㈜서정스타주유소 화성점","경기 화성시 봉담읍 세자로 352","2025년 09월","HD현대오일뱅크","셀프","1975.00","1603.00","1467.00","1500.00"
"A0002353","경기 화성시","㈜서정스타주유소 화성점","경기 화성시 봉담읍 세자로 352","2025년 10월","HD현대오일뱅크","셀프","1975.00","1618.87","1487.26","1500.00"
"A0033754","경기 화성시","㈜선도테크 회화로주유소","경기 화성시 양감면 정문회화로 41-1","2025년 09월","GS칼텍스","셀프","0.00","1676.00","1555.67","0.00"
"A0033754","경기 화성시","㈜선도테크 회화로주유소","경기 화성시 양감면 정문회화로 41-1","2025년 10월","GS칼텍스","셀프","0.00","1683.61","1556.77","0.00"
"A0002361","경기 화성시","㈜하이테크산업 화성주유소","경기 화성시 남양읍 주석로 353","2025년 09월","SK에너지","셀프","0.00","1606.13","1467.13","0.00"
"A0002361","경기 화성시","㈜하이테크산업 화성주유소","경기 화성시 남양읍 주석로 353","2025년 10월","SK에너지","셀프","0.00","1613.42","1478.94","0.00"
"A0002601","경기 화성시","㈜효창에너지직영3주유소","경기도 화성시 팔탄면 3.1만세로 784","2025년 09월","SK에너지","셀프","0.00","1610.67","1473.33","0.00"
"A0002601","경기 화성시","㈜효창에너지직영3주유소","경기도 화성시 팔탄면 3.1만세로 784","2025년 10월","SK에너지","셀프","0.00","1617.68","1489.61","0.00"
"A0002721","경기 화성시","㈜흥운 상기리주유소","경기 화성시 봉담읍 주석로 996","2025년 09월","S-OIL","일반","0.00","1695.00","1595.00","1500.00"
"A0002721","경기 화성시","㈜흥운 상기리주유소","경기 화성시 봉담읍 주석로 996","2025년 10월","S-OIL","일반","0.00","1695.00","1595.00","1500.00"
"A0002216","경기 화성시","가장공단주유소","경기 화성시 정남면 가장로 405","2025년 09월","HD현대오일뱅크","일반","0.00","1635.00","1495.00","0.00"
"A0002216","경기 화성시","가장공단주유소","경기 화성시 정남면 가장로 405","2025년 10월","HD현대오일뱅크","일반","0.00","1639.06","1502.26","0.00"
"A0002093","경기 화성시","강남주유소","경기 화성시 비봉면 화성로 1554","2025년 09월","SK에너지","일반","0.00","1646.33","1505.83","1350.00"
"A0002093","경기 화성시","강남주유소","경기 화성시 비봉면 화성로 1554","2025년 10월","SK에너지","일반","0.00","1639.65","1499.97","1350.00"
"A0033732","경기 화성시","거홍㈜ 초록로주유소","경기 화성시 양감면 초록로 612","2025년 09월","GS칼텍스","셀프","1899.00","1683.00","1563.00","1350.00"
"A0033732","경기 화성시","거홍㈜ 초록로주유소","경기 화성시 양감면 초록로 612","2025년 10월","GS칼텍스","셀프","1899.00","1683.26","1564.68","1350.00"
"A0009008","경기 화성시","거홍주유소 (주)","경기 화성시 양감면 은행나무로 389","2025년 09월","GS칼텍스","일반","1899.00","1659.00","1549.00","1370.00"
"A0009008","경기 화성시","거홍주유소 (주)","경기 화성시 양감면 은행나무로 389","2025년 10월","GS칼텍스","일반","1899.00","1659.00","1549.00","1370.00"
"A0002226","경기 화성시","경제주유소","경기 화성시 팔탄면 서해로 1130","2025년 09월","SK에너지","셀프","0.00","1638.67","1493.67","0.00"
"A0002251","경기 화성시","고지리주유소","경기 화성시 정남면 가장로 300","2025년 09월","GS칼텍스","일반","0.00","1698.00","1568.00","1450.00"
"A0002251","경기 화성시","고지리주유소","경기 화성시 정남면 가장로 300","2025년 10월","GS칼텍스","일반","0.00","1698.00","1568.65","1450.00"
"A0002367","경기 화성시","공룡주유소","경기 화성시 남양읍 시청로 270","2025년 09월","S-OIL","셀프","0.00","1629.00","1488.33","0.00"
"A0002367","경기 화성시","공룡주유소","경기 화성시 남양읍 시청로 270","2025년 10월","S-OIL","셀프","0.00","1646.45","1510.42","0.00"
"A0002010","경기 화성시","광평주유소","경기 화성시 서신면 제부로 724","2025년 09월","GS칼텍스","일반","0.00","1690.00","1587.50","1250.00"
"A0002010","경기 화성시","광평주유소","경기 화성시 서신면 제부로 724","2025년 10월","GS칼텍스","일반","0.00","1686.29","1583.23","1249.04"
"A0008935","경기 화성시","구도일주유소 상리","경기 화성시 봉담읍 삼천병마로 1129-18","2025년 09월","S-OIL","셀프","0.00","1620.67","1499.00","0.00"
"A0008935","경기 화성시","구도일주유소 상리","경기 화성시 봉담읍 삼천병마로 1129-18","2025년 10월","S-OIL","셀프","0.00","1633.19","1503.52","1410.00"
"A0009163","경기 화성시","구도일주유소 신흥","경기 화성시 팔탄면 서해로 1280","2025년 09월","S-OIL","셀프","0.00","1603.53","1466.33","1550.00"
"A0009163","경기 화성시","구도일주유소 신흥","경기 화성시 팔탄면 서해로 1280","2025년 10월","S-OIL","셀프","0.00","1599.52","1477.90","1450.00"
"A0002242","경기 화성시","구장주유소","경기 화성시 팔탄면 푸른들판로 639","2025년 09월","SK에너지","일반","0.00","1798.00","1698.00","1515.00"
"A0002242","경기 화성시","구장주유소","경기 화성시 팔탄면 푸른들판로 639","2025년 10월","SK에너지","일반","0.00","1798.00","1698.00","1543.55"
"A0002294","경기 화성시","그린주유소","경기 화성시 팔탄면 버들로 1315","2025년 09월","GS칼텍스","일반","0.00","1698.00","1558.00","1400.00"
"A0002294","경기 화성시","그린주유소","경기 화성시 팔탄면 버들로 1315","2025년 10월","GS칼텍스","일반","0.00","1698.00","1558.00","1400.00"
"A0002259","경기 화성시","그린화성주유소","경기 화성시 봉담읍 최루백로 260","2025년 09월","HD현대오일뱅크","일반","0.00","1768.00","1672.63","1500.00"
"A0002259","경기 화성시","그린화성주유소","경기 화성시 봉담읍 최루백로 260","2025년 10월","HD현대오일뱅크","일반","0.00","1788.00","1683.87","1500.00"
"A0001038","경기 화성시","금산주유소","경기 화성시 장안면 3.1만세로 501","2025년 09월","S-OIL","일반","0.00","1698.00","1568.00","1400.00"
"A0001038","경기 화성시","금산주유소","경기 화성시 장안면 3.1만세로 501","2025년 10월","S-OIL","일반","0.00","1698.00","1576.46","0.00"
"A0002423","경기 화성시","금영주유소","경기 화성시 서신면 궁평항로 1161","2025년 09월","GS칼텍스","일반","0.00","1698.00","1625.00","0.00"
"A0002423","경기 화성시","금영주유소","경기 화성시 서신면 궁평항로 1161","2025년 10월","GS칼텍스","일반","0.00","1772.07","1625.00","0.00"
"A0032864","경기 화성시","금탑셀프주유소","경기 화성시 비봉면 서해로 1692","2025년 09월","SK에너지","셀프","0.00","1620.00","1484.67","0.00"
"A0032864","경기 화성시","금탑셀프주유소","경기 화성시 비봉면 서해로 1692","2025년 10월","SK에너지","셀프","0.00","1617.61","1492.87","0.00"
